1;01.01;06-12
2;01.01;< 6
3;01.01;>=12 (NORMAL)
4;01.02;4000 - 7000 (NORMAL)
5;01.02;> 7000 (ALTO)
6;01.02;< 4000 (BAJO)
7;01.05;ALTO
8;01.05;NORMAL
9;01.05;BAJO
10;01.06;POSITIVO
11;01.06;NEGATIVO
12;02.01;A RH+
13;02.01;A RH-
14;02.01;B RH+
15;02.01;B RH-
16;02.01;AB RH+
17;02.01;AB RH-
18;02.01;O RH+
19;02.01;O RH-
20;02.02;NEGATIVO
21;02.02;POSITIVO
22;03.01;NEGATIVO
23;03.01;POCOS
24;03.01;+
25;03.01;++
26;03.01;+++
27;03.01;++++
28;03.02;POSITIVO
29;03.02;NEGATIVO
30;03.02.1;NEGATIVO
31;03.02.1;POSITIVO
32;03.02.2;POSITIVO
33;03.02.2;NEGATIVO
34;03.02.3;NEGATIVO
35;03.02.3;POSITIVO
36;03.02.4;NEGATIVO
37;03.02.4;POSITIVO
38;03.03;A..LUMBRICOIDES
39;03.03;E.COLI CYSTS
40;03.03;E.HISTOLYTICA
41;03.03;E.VERMICULARIS
42;03.03;G.LAMBLIA
43;03.03;T.HOMINIS
44;03.03;HOOK WORM
45;03.03;S.MANSONI
46;03.03;S.STERCORALIS
47;03.03;TAENIA SAGINATA
48;03.03;TAENIA SOLIUM
49;03.03;TRICHURISI TRICHURA
50;03.03;HYMENOLEPIS NANA
51;03.04;POSITIVO
52;03.04;NEGATIVO
53;03.05;POSITIVO
54;03.05;NEGATIVO
55;03.06;POSITIVO
56;03.06;NEGATIVO
57;04.01;POSITIVO
58;04.01;NEGATIVO
59;04.02;POSITIVO
60;04.02;NEGATIVO
61;04.03;POSITIVO
62;04.03;NEGATIVO
63;04.04;POSITIVO
64;04.04;NEGATIVO
65;04.05;POSITIVO
66;04.05;NEGATIVO
67;04.06;NORMAL
68;05.01;POSITIVO
69;05.01;NEGATIVO
70;05.02;NEGATIVO
71;05.02;PNEUMOCOCCI
72;05.02;MENINGOCOCCI
73;05.02;HEMOPHILLUS INFL.
74;05.02;CRYPTOCOCCI
75;05.02;PLEAMORPHIC BACILLI
76;05.02;STAPHYLOCOCCI
77;05.03;POSITIVO
78;05.03;NEGATIVO
79;05.04;POSITIVO
80;05.04;NEGATIVO
81;05.05;NEGATIVO
82;05.05;+
83;05.05;++
84;05.05;+++
85;05.06;POSITIVO
86;05.06;NEGATIVO
87;05.07;POSITIVO
88;05.07;NEGATIVO
89;06.01;POSITIVO
90;06.01;NEGATIVO
91;06.02;POSITIVO
92;06.02;NEGATIVO
93;06.03;POSITIVO
94;06.03;NEGATIVO
95;06.04;POSITIVO
96;06.04;NEGATIVO
97;06.05;POSITIVO
98;06.05;NEGATIVO
99;06.06;POSITIVO
100;06.06;NEGATIVO
101;07.01;POSITIVO
102;07.01;NEGATIVO
103;07.02;ALTO
104;07.02;BAJO
105;07.02;NORMAL
106;07.03;ALTO
107;07.03;BAJO
108;07.03;NORMAL
109;07.03.1;<1.2 (NORMAL)
110;07.03.1;1.2 - 5
111;07.03.1;> 5
112;07.03.2;< 1.2 (NORMAL)
113;07.03.2;1.2 - 5
114;07.03.2;> 5
115;07.03.3;<= 50 (NORMAL)
116;07.03.3;> 50
117;07.03.4;<= 50 (NORMAL)
118;07.03.4;> 50
119;07.04;ALTO
120;07.04;BAJO
121;07.04;NORMAL
122;07.04.1;< 1.4 (NORMAL)
123;07.04.1;1.4 - 2.5
124;07.04.1;> 2.5
125;07.04.2;> 10
126;07.04.2;10-55 (NORMAL)
127;07.04.2;< 55
128;08.01;POSITIVO
129;08.01;NEGATIVO
130;09.01;SEDIMENTOS
131;09.01;AZÚCAR
132;09.01;UROBILINOGEN
133;09.01;BILIRRUBINA
134;09.01;PROTEINA
135;09.01;HCG
