01.01;1.1 HB;HB;1;>=12 (NORMAL);1
01.02;1.2 WBC Count;HB;1;4000 - 7000 (NORMAL);1
01.03;1.3 Diferencial ;HB;1;RESULTADOS EN LA NOTA;0
01.04;1.4 Comentario al film ;HB;1;RESULTADOS EN LA NOTA;0
01.05;1.5 ESR;HB;1;NORMAL;1
01.06;1.6 Prueba para drepanocitosis;HB;1;NEGATIVO;1
02.01;2.1 Agrupamiento;BT;1;;2
02.02;2.2 Prueba de Coombs;BT;1;NEGATIVO;3
03.01;3.1 Platina de Sangre (Malaria);PA;1;NEGATIVO;1
03.02;3.2 Platina de Sangre (Otros, por ej.TRIUPHANOSOMIAS, MICRIFILARIA, LEISHMANIA, BORRELIA));PA;1;NEGATIVO;2
03.02.1;3.21  Tripanosomiasis;PA;1;NEGATIVO;2
03.02.2;3.22 MICROFILARIA;PA;1;NEGATIVO;1
03.02.3;3.23 LEISHMANIA;PA;1;NEGATIVO;1
03.02.4;3.24 BORRELIA;PA;1;NEGATIVO;1
03.03;3.3 MICROSCOPÍA DE EXCREMENTOS;PA;2;;2
03.04;3.4 MICROSCOPÍA DE ORINA ;PA;1;NEGATIVO;1
03.05;3.5 MICROSCOPÍA DE TEJIDOS;PA;1;NEGATIVO;1
03.06;3.6 CSF WET PREP;PA;1;NEGATIVO;1
04.01;4.1 CULTIVO Y SENSIBILIDAD (C&S) PARA HAEMOPHILUS INFUENZAE TIPO B;BA;1;NEGATIVO;2
04.02;4.2 C&S PARA SALMONELLA TYPHI;BA;1;NEGATIVO;1
04.03;4.3 C&S PARA VIBRO CÓLERA;BA;1;NEGATIVO;1
04.04;4.4 C&S PARA SHIGELLA DYSENTERIAE;BA;1;NEGATIVO;1
04.05;4.5 C&S PARA NEISSERIA MENINGITIDES;BA;1;NEGATIVO;1
04.06;4.6 OTROS C&S ;BA;1;NEGATIVO;1
05.01;5.1 WET PREP;MC;1;NEGATIVO;1
05.02;5.2 GRAM STAIN;MC;1;NEGATIVO;1
05.03;5.3 INDIA INK;MC;1;NEGATIVO;1
05.04;5.4 LEISMANIA;MC;1;NEGATIVO;1
05.05;5.5 ZN;MC;1;NEGATIVO;1
05.06;5.6 WAYSON;MC;1;NEGATIVO;1
05.07;5.7 PAP SMEAR;MC;1;NEGATIVO;1
06.01;6.1 VDRL/RPR;SE;1;NEGATIVO;1
06.02;6.2 TPHA;SE;1;NEGATIVO;1
06.03;6.3 HIV;SE;1;NEGATIVO;1
06.04;6.4 HEPATITIS;SE;1;NEGATIVO;1
06.05;6.5 OTROS POR EJ. BRUCELLA, RHEUMATOID FACTOR, WEIL FELIX;SE;1;NEGATIVO;1
06.06;6.6 TEST EMBARAZO;SE;1;NEGATIVO;1
07.01;7.1 PROTEINA;CH;1;NEGATIVO;1
07.02;7.2 AZÚCAR;CH;1;NORMAL;1
07.03;7.3 LFTS;CH;1;NORMAL;1
07.03.1;7.3.1 BILIRRUBINA TOTAL;CH;1;< 1.2 (NORMAL);3
07.03.2;7.3.2 BILIRRUBINA DIRECTA;CH;1;< 1.2 (NORMAL);7
07.03.3;7.3.3 GOT;CH;1;<= 50 (NORMAL);2
07.03.4;7.3.4 ALT/GPT;CH;1;<= 50 (NORMAL);1
07.04;7.4 RFTS;CH;1;NORMAL;1
07.04.1;7.4.1 CREATININA;CH;1;< 1.4 (NORMAL);1
07.04.2;7.4.2 UREA;CH;1;10-55 (NORMAL);1
08.01;8.1 SANGRE OCULTO;OC;1;NEGATIVO;1
09.01;9.1 ANALISIS DE ORINA;OT;2;;1
